day,date,platform,program,hook_type,title,hook,cta,hashtags,link_slug,status
1,2026-07-01,youtube_shorts,ElevenLabs,pain,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーション、まだ手作業でやってませんか？それ、ElevenLabsで一瞬です。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d001,draft
2,2026-07-02,youtube_shorts,HeyGen,result,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,HeyGenを使ったらAIアバター動画が10分→1分になった話、します。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d002,draft
3,2026-07-03,youtube_shorts,Synthesia,vs,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,研修動画、手作業とSynthesiaでどれだけ違うか比べてみた。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d003,draft
4,2026-07-04,youtube_shorts,Descript,howto,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,Descriptで動画/音声編集を終わらせる3ステップ、見せます。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d004,draft
5,2026-07-05,youtube_shorts,ChatGPT (OpenAI),mistake,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT活用でこれやってる人、時間めっちゃ損してます（ChatGPT (OpenAI)で解決）。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d005,draft
6,2026-07-06,youtube_shorts,Pictory,tier,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はPictoryでした。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d006,draft
7,2026-07-07,youtube_shorts,InVideo AI,pain,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,プロンプトから動画、まだ手作業でやってませんか？それ、InVideo AIで一瞬です。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d007,draft
8,2026-07-08,youtube_shorts,Fliki,result,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,Flikiを使ったらテキスト読み上げ動画が10分→1分になった話、します。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d008,draft
9,2026-07-09,youtube_shorts,Murf.ai,vs,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーション、手作業とMurf.aiでどれだけ違うか比べてみた。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d009,draft
10,2026-07-10,youtube_shorts,Midjourney,howto,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,MidjourneyでAI画像を終わらせる3ステップ、見せます。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d010,draft
11,2026-07-11,youtube_shorts,Jasper,mistake,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,AIライティングでこれやってる人、時間めっちゃ損してます（Jasperで解決）。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d011,draft
12,2026-07-12,youtube_shorts,Writesonic,tier,【Writesonic】AI記事作成が一瞬で終わるAI活用 #shorts,writing系AIツールTop3、本命はWritesonicでした。,概要欄にWritesonicを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Writesonic,writesonic-d012,draft
13,2026-07-13,youtube_shorts,Canva,pain,【Canva】サムネ作成が一瞬で終わるAI活用 #shorts,サムネ作成、まだ手作業でやってませんか？それ、Canvaで一瞬です。,概要欄にCanvaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Canva,canva-d013,draft
14,2026-07-14,youtube_shorts,Notion,result,【Notion】Notion AIが一瞬で終わるAI活用 #shorts,Notionを使ったらNotion AIが10分→1分になった話、します。,概要欄にNotionを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #仕事効率化 #自動化 #Notion,notion-d014,draft
15,2026-07-15,youtube_shorts,Perplexity,vs,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,AI検索、手作業とPerplexityでどれだけ違うか比べてみた。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d015,draft
16,2026-07-16,youtube_shorts,Adobe (Firefly / Creative Cloud),howto,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,Adobe (Firefly / Creative Cloud)でAI画像生成を終わらせる3ステップ、見せます。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d016,draft
17,2026-07-17,youtube_shorts,ElevenLabs,mistake,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーションでこれやってる人、時間めっちゃ損してます（ElevenLabsで解決）。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d017,draft
18,2026-07-18,youtube_shorts,HeyGen,tier,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はHeyGenでした。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d018,draft
19,2026-07-19,youtube_shorts,Synthesia,pain,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,研修動画、まだ手作業でやってませんか？それ、Synthesiaで一瞬です。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d019,draft
20,2026-07-20,youtube_shorts,ChatGPT (OpenAI),result,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT (OpenAI)を使ったらChatGPT活用が10分→1分になった話、します。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d020,draft
21,2026-07-21,youtube_shorts,Descript,vs,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,動画/音声編集、手作業とDescriptでどれだけ違うか比べてみた。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d021,draft
22,2026-07-22,youtube_shorts,Pictory,howto,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,Pictoryでテキストから動画を終わらせる3ステップ、見せます。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d022,draft
23,2026-07-23,youtube_shorts,InVideo AI,mistake,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,プロンプトから動画でこれやってる人、時間めっちゃ損してます（InVideo AIで解決）。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d023,draft
24,2026-07-24,youtube_shorts,Fliki,tier,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はFlikiでした。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d024,draft
25,2026-07-25,youtube_shorts,Midjourney,pain,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,AI画像、まだ手作業でやってませんか？それ、Midjourneyで一瞬です。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d025,draft
26,2026-07-26,youtube_shorts,Murf.ai,result,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,Murf.aiを使ったらAIナレーションが10分→1分になった話、します。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d026,draft
27,2026-07-27,youtube_shorts,Jasper,vs,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,AIライティング、手作業とJasperでどれだけ違うか比べてみた。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d027,draft
28,2026-07-28,youtube_shorts,Writesonic,howto,【Writesonic】AI記事作成が一瞬で終わるAI活用 #shorts,WritesonicでAI記事作成を終わらせる3ステップ、見せます。,概要欄にWritesonicを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Writesonic,writesonic-d028,draft
29,2026-07-29,youtube_shorts,Canva,mistake,【Canva】サムネ作成が一瞬で終わるAI活用 #shorts,サムネ作成でこれやってる人、時間めっちゃ損してます（Canvaで解決）。,概要欄にCanvaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Canva,canva-d029,draft
30,2026-07-30,youtube_shorts,Perplexity,tier,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,research系AIツールTop3、本命はPerplexityでした。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d030,draft
31,2026-07-31,youtube_shorts,Notion,pain,【Notion】Notion AIが一瞬で終わるAI活用 #shorts,Notion AI、まだ手作業でやってませんか？それ、Notionで一瞬です。,概要欄にNotionを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #仕事効率化 #自動化 #Notion,notion-d031,draft
32,2026-08-01,youtube_shorts,Adobe (Firefly / Creative Cloud),result,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,Adobe (Firefly / Creative Cloud)を使ったらAI画像生成が10分→1分になった話、します。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d032,draft
33,2026-08-02,youtube_shorts,ElevenLabs,vs,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーション、手作業とElevenLabsでどれだけ違うか比べてみた。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d033,draft
34,2026-08-03,youtube_shorts,HeyGen,howto,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,HeyGenでAIアバター動画を終わらせる3ステップ、見せます。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d034,draft
35,2026-08-04,youtube_shorts,ChatGPT (OpenAI),mistake,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT活用でこれやってる人、時間めっちゃ損してます（ChatGPT (OpenAI)で解決）。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d035,draft
36,2026-08-05,youtube_shorts,Synthesia,tier,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はSynthesiaでした。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d036,draft
37,2026-08-06,youtube_shorts,Descript,pain,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,動画/音声編集、まだ手作業でやってませんか？それ、Descriptで一瞬です。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d037,draft
38,2026-08-07,youtube_shorts,Pictory,result,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,Pictoryを使ったらテキストから動画が10分→1分になった話、します。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d038,draft
39,2026-08-08,youtube_shorts,InVideo AI,vs,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,プロンプトから動画、手作業とInVideo AIでどれだけ違うか比べてみた。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d039,draft
40,2026-08-09,youtube_shorts,Midjourney,howto,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,MidjourneyでAI画像を終わらせる3ステップ、見せます。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d040,draft
41,2026-08-10,youtube_shorts,Fliki,mistake,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,テキスト読み上げ動画でこれやってる人、時間めっちゃ損してます（Flikiで解決）。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d041,draft
42,2026-08-11,youtube_shorts,Murf.ai,tier,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,voice系AIツールTop3、本命はMurf.aiでした。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d042,draft
43,2026-08-12,youtube_shorts,Jasper,pain,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,AIライティング、まだ手作業でやってませんか？それ、Jasperで一瞬です。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d043,draft
44,2026-08-13,youtube_shorts,Writesonic,result,【Writesonic】AI記事作成が一瞬で終わるAI活用 #shorts,Writesonicを使ったらAI記事作成が10分→1分になった話、します。,概要欄にWritesonicを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Writesonic,writesonic-d044,draft
45,2026-08-14,youtube_shorts,Perplexity,vs,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,AI検索、手作業とPerplexityでどれだけ違うか比べてみた。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d045,draft
46,2026-08-15,youtube_shorts,Canva,howto,【Canva】サムネ作成が一瞬で終わるAI活用 #shorts,Canvaでサムネ作成を終わらせる3ステップ、見せます。,概要欄にCanvaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Canva,canva-d046,draft
47,2026-08-16,youtube_shorts,Notion,mistake,【Notion】Notion AIが一瞬で終わるAI活用 #shorts,Notion AIでこれやってる人、時間めっちゃ損してます（Notionで解決）。,概要欄にNotionを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #仕事効率化 #自動化 #Notion,notion-d047,draft
48,2026-08-17,youtube_shorts,Adobe (Firefly / Creative Cloud),tier,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,design系AIツールTop3、本命はAdobe (Firefly / Creative Cloud)でした。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d048,draft
49,2026-08-18,youtube_shorts,ElevenLabs,pain,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーション、まだ手作業でやってませんか？それ、ElevenLabsで一瞬です。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d049,draft
50,2026-08-19,youtube_shorts,ChatGPT (OpenAI),result,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT (OpenAI)を使ったらChatGPT活用が10分→1分になった話、します。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d050,draft
51,2026-08-20,youtube_shorts,HeyGen,vs,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,AIアバター動画、手作業とHeyGenでどれだけ違うか比べてみた。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d051,draft
52,2026-08-21,youtube_shorts,Synthesia,howto,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,Synthesiaで研修動画を終わらせる3ステップ、見せます。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d052,draft
53,2026-08-22,youtube_shorts,Descript,mistake,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,動画/音声編集でこれやってる人、時間めっちゃ損してます（Descriptで解決）。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d053,draft
54,2026-08-23,youtube_shorts,Pictory,tier,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はPictoryでした。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d054,draft
55,2026-08-24,youtube_shorts,Midjourney,pain,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,AI画像、まだ手作業でやってませんか？それ、Midjourneyで一瞬です。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d055,draft
56,2026-08-25,youtube_shorts,InVideo AI,result,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,InVideo AIを使ったらプロンプトから動画が10分→1分になった話、します。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d056,draft
57,2026-08-26,youtube_shorts,Fliki,vs,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,テキスト読み上げ動画、手作業とFlikiでどれだけ違うか比べてみた。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d057,draft
58,2026-08-27,youtube_shorts,Murf.ai,howto,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,Murf.aiでAIナレーションを終わらせる3ステップ、見せます。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d058,draft
59,2026-08-28,youtube_shorts,Jasper,mistake,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,AIライティングでこれやってる人、時間めっちゃ損してます（Jasperで解決）。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d059,draft
60,2026-08-29,youtube_shorts,Perplexity,tier,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,research系AIツールTop3、本命はPerplexityでした。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d060,draft
